day	HS	SSL	CSL	KW
93	1	0.480272109	0.048929664	0
94	1	0.480272109	0.048929664	0
95	1	0.480272109	0.048929664	0
96	1	0.480272109	0.048929664	0
97	1	0.480272109	0.048929664	0
98	1	0.480272109	0.048929664	0
99	1	0.515646259	0.036697248	0
100	1	0.353741497	0.012232416	0
101	1	0.353741497	0.012232416	0
102	1	0.353741497	0.012232416	0
103	1	0.353741497	0.012232416	0
104	1	0.353741497	0.012232416	0
105	1	0.353741497	0.012232416	0
106	1	0.353741497	0.012232416	0
107	1	0.353741497	0.012232416	0
108	1	0.353741497	0.012232416	0
109	1	0.353741497	0.012232416	0
110	1	0.353741497	0.012232416	0
111	1	0.353741497	0.012232416	0
112	1	0.353741497	0.012232416	0
113	1	0.353741497	0.012232416	0
114	1	0.353741497	0.012232416	0
115	1	0.353741497	0.012232416	0
116	1	0.353741497	0.012232416	0
117	1	0.353741497	0.012232416	0
118	1	0.353741497	0.012232416	0
119	1	0.353741497	0.012232416	0
120	1	0.353741497	0.012232416	0
121	1	0.353741497	0.012232416	0
122	1	0.353741497	0.012232416	0.15
123	1	0.353741497	0.012232416	0.15
124	1	0.353741497	0.012232416	0.15
125	1	0.353741497	0.012232416	0.15
126	1	0.353741497	0.012232416	0.15
127	1	0.353741497	0.012232416	0.15
128	1	0.353741497	0.012232416	0.15
129	1	0.353741497	0.012232416	0.15
130	1	0.353741497	0.012232416	0.15
131	1	0.353741497	0.012232416	0.15
132	1	0.353741497	0.012232416	0.15
133	1	0.353741497	0.012232416	0.15
134	1	0.353741497	0.012232416	0.15
135	1	0.353741497	0.012232416	0.15
136	1	0.353741497	0.012232416	0.15
137	1	0.353741497	0.012232416	0.15
138	1	0.353741497	0.012232416	0.15
139	1	0.353741497	0.012232416	0.15
140	1	0.353741497	0.012232416	0.15
141	1	0.353741497	0.012232416	0.15
142	1	0.353741497	0.012232416	0.15
143	1	0.353741497	0.012232416	0.15
144	1	0.353741497	0.012232416	0.15
145	1	0.353741497	0.012232416	0.15
146	1	0.353741497	0.012232416	0.15
147	1	0.353741497	0.012232416	0.15
148	1	0.353741497	0.012232416	0.15
149	1	0.353741497	0.012232416	0.15
150	1	0.353741497	0.012232416	0.15
151	1	0.353741497	0.012232416	0.15
152	1	0.353741497	0.012232416	0.15
153	1	0.353741497	0.012232416	0.79
154	1	0.353741497	0.012232416	0.79
155	1	0.353741497	0.012232416	0.79
156	1	0.353741497	0.012232416	0.79
157	1	0.353741497	0.012232416	0.79
158	1	0.353741497	0.012232416	0.79
159	1	0.353741497	0.012232416	0.79
160	1	0.353741497	0.012232416	0.79
161	1	0.353741497	0.012232416	0.79
162	1	0.353741497	0.012232416	0.79
163	1	0.353741497	0.012232416	0.79
164	1	0.353741497	0.012232416	0.79
165	1	0.353741497	0.012232416	0.79
166	1	0.353741497	0.012232416	0.79
167	1	0.353741497	0.012232416	0.79
168	1	0.353741497	0.012232416	0.79
169	1	0.353741497	0.012232416	0.79
170	1	0.353741497	0.012232416	0.79
171	1	0.353741497	0.012232416	0.79
172	1	0.353741497	0.012232416	0.79
173	1	0.353741497	0.012232416	0.79
174	1	0.353741497	0.012232416	0.79
175	1	0.353741497	0.012232416	0.79
176	1	0.353741497	0.012232416	0.79
177	1	0.353741497	0.012232416	0.79
178	1	0.353741497	0.012232416	0.79
179	1	0.353741497	0.012232416	0.79
180	1	0.353741497	0.012232416	0.79
181	1	0.353741497	0.012232416	0.79
182	1	0.353741497	0.012232416	0.79
183	1	0.353741497	0.012232416	0.79
184	1	0.353741497	0.012232416	0.79
185	1	0.353741497	0.012232416	0.79
186	1	0.353741497	0.012232416	0.79
187	1	0.353741497	0.012232416	0.79
188	1	0.353741497	0.012232416	0.79
189	1	0.353741497	0.012232416	0.79
190	1	0.353741497	0.012232416	0.79
191	1	0.353741497	0.012232416	0.79
192	1	0.353741497	0.012232416	0.79
193	1	0.353741497	0.012232416	0.79
194	1	0.353741497	0.012232416	0.79
195	1	0.353741497	0.012232416	0.79
196	1	0.353741497	0.012232416	0.79
197	1	0.353741497	0.012232416	0.79
198	1	0.353741497	0.012232416	0.79
199	1	0.353741497	0.012232416	0.79
200	1	0.353741497	0.012232416	0.79
201	1	0.353741497	0.012232416	0.79
202	1	0.353741497	0.012232416	0.79
203	1	0.353741497	0.012232416	0.79
204	1	0.353741497	0.012232416	0.79
205	1	0.180952381	0.006116208	0.79
206	1	0.016326531	0	0.79
207	1	0.016326531	0	0.79
208	1	0.016326531	0	0.79
209	1	0.016326531	0	0.79
210	1	0.016326531	0	0.79
211	1	0.016326531	0	0.79
212	1	0.016326531	0	0.79
213	1	0.016326531	0	0.79
214	1	0.016326531	0	0.79
215	1	0.016326531	0	0.79
216	1	0.016326531	0	0.79
217	1	0.016326531	0	0.79
218	1	0.016326531	0	0.79
219	1	0.039455782	0.006116208	0.79
220	1	0.039455782	0.006116208	0.79
221	1	0.039455782	0.006116208	0.79
222	1	0.039455782	0.006116208	0.79
223	1	0.039455782	0.006116208	0.79
224	1	0.039455782	0.006116208	0.79
225	1	0.039455782	0.006116208	0.79
226	1	0.039455782	0.006116208	0.79
227	1	0.039455782	0.006116208	0.79
228	1	0.039455782	0.006116208	0.79
229	1	0.039455782	0.006116208	0.79
230	1	0.039455782	0.006116208	0.79
231	1	0.039455782	0.006116208	0.79
232	1	0.039455782	0.006116208	0.79
233	1	0.039455782	0.006116208	0.79
234	1	0.039455782	0.006116208	0.79
235	1	0.039455782	0.006116208	0.79
236	1	0.039455782	0.006116208	0.79
237	1	0.039455782	0.006116208	0.79
238	1	0.039455782	0.006116208	0.79
239	1	0.168707483	0.006116208	0.79
240	1	0.553741497	0.189602446	0.79
241	1	0.553741497	0.189602446	0.79
242	1	0.553741497	0.189602446	0.79
243	1	0.553741497	0.189602446	0.79
244	1	0.553741497	0.189602446	0.79
245	1	0.553741497	0.189602446	0.79
246	1	0.553741497	0.189602446	0.79
247	1	0.553741497	0.189602446	0.79
248	1	0.553741497	0.189602446	0.79
249	1	0.553741497	0.189602446	0.79
250	1	0.553741497	0.189602446	0.79
251	1	0.553741497	0.189602446	0.79
252	1	0.553741497	0.189602446	0.79
253	1	0.553741497	0.189602446	0.79
254	1	0.553741497	0.189602446	0.79
255	1	0.553741497	0.189602446	0.79
256	1	0.553741497	0.189602446	0.79
257	1	0.553741497	0.189602446	0.79
258	1	0.553741497	0.189602446	0.79
259	1	0.553741497	0.189602446	0.79
260	1	0.553741497	0.189602446	0.79
261	1	0.553741497	0.189602446	0.79
262	1	0.553741497	0.189602446	0.79
263	1	0.553741497	0.189602446	0.79
264	1	0.553741497	0.189602446	0.79
265	1	0.553741497	0.189602446	0.79
266	1	0.553741497	0.189602446	0.79
267	1	0.553741497	0.189602446	0.79
268	1	0.553741497	0.189602446	0.79
269	1	0.553741497	0.189602446	0.79
270	1	0.553741497	0.189602446	0.79
271	1	0.553741497	0.189602446	0.79
272	1	0.553741497	0.189602446	0.79
273	1	0.553741497	0.189602446	0.79
274	1	0.553741497	0.189602446	0.79
275	1	0.553741497	0.189602446	0.3
276	1	0.553741497	0.189602446	0.3
277	1	0.553741497	0.189602446	0.3
278	1	0.553741497	0.189602446	0.3
279	1	0.553741497	0.189602446	0.3
280	1	0.553741497	0.189602446	0.3
281	1	0.553741497	0.189602446	0.3
282	1	0.553741497	0.189602446	0.3
283	1	0.553741497	0.189602446	0.3
284	1	0.553741497	0.189602446	0.3
285	1	0.553741497	0.189602446	0.3
286	1	0.553741497	0.189602446	0.3
287	1	0.553741497	0.189602446	0.3
288	1	0.553741497	0.189602446	0.3
289	1	0.553741497	0.189602446	0.3
290	1	0.553741497	0.189602446	0.3
291	1	0.553741497	0.189602446	0.3
292	1	0.553741497	0.189602446	0.3
293	1	0.553741497	0.189602446	0.3
294	1	0.553741497	0.189602446	0.3
295	1	0.553741497	0.189602446	0.3
296	1	0.553741497	0.189602446	0.3
297	1	0.553741497	0.189602446	0.3
298	1	0.553741497	0.189602446	0.3
299	1	0.553741497	0.189602446	0.3
300	1	0.553741497	0.189602446	0.3
301	1	0.553741497	0.189602446	0.3
302	1	0.553741497	0.189602446	0.3
303	1	0.553741497	0.189602446	0.3
304	1	0.553741497	0.189602446	0.3
305	1	0.553741497	0.189602446	0.3
306	1	0.553741497	0.189602446	0.15
307	1	0.553741497	0.189602446	0.15
308	1	0.553741497	0.189602446	0.15
309	1	0.553741497	0.189602446	0.15
310	1	0.553741497	0.189602446	0.15
311	1	1	0.379204893	0.15
312	1	1	0.379204893	0.15
313	1	0.961904762	0.379204893	0.15
314	1	0.961904762	0.379204893	0.15
